name,email,phone,address,city,state,zip,google_rating,google_review_count,notes
McGuire Funeral Service Inc.,,(202) 882-6600,7400 Georgia Ave NW,Washington,DC,20012,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DC_ROSTER_2026-09.md #1). Confirm DLCP license + email before vetting.
Stewart Funeral Home,,(202) 399-3600,4001 Benning Rd NE,Washington,DC,20019,,,UNVERIFIED web-search lead 2026-09-24 (roster #2). Confirm DLCP license + email before vetting.
Henry S. Washington & Sons Co. Inc.,,(202) 398-6700,4925 Nannie Helen Burroughs Ave NE,Washington,DC,20019,,,UNVERIFIED web-search lead 2026-09-24 (roster #3). Confirm DLCP license + email before vetting.
Robinson Funeral Home,,(202) 387-5984,1313 6th St NW,Washington,DC,20001,,,UNVERIFIED web-search lead 2026-09-24 (roster #4). Confirm DLCP license + email before vetting.
John T. Rhines Funeral Home,,(202) 529-4300,3005 12th St NE,Washington,DC,20017,,,UNVERIFIED web-search lead 2026-09-24 (roster #5). ADDRESS CONFLICTS across sources — confirm. 2026 GPL found.
Joseph Gawler's Sons LLC,,(202) 966-6400,5130 Wisconsin Ave NW,Washington,DC,20016,,,UNVERIFIED web-search lead 2026-09-24 (roster #6). SCI/Dignity Memorial. Confirm DLCP license + email before vetting.
DeVol Funeral Home,,(202) 333-6680,2222 Wisconsin Ave NW,Washington,DC,20007,,,UNVERIFIED web-search lead 2026-09-24 (roster #7). SCI/Dignity Memorial. Confirm DLCP license + email before vetting.
Marshall-March Funeral Homes,,(202) 723-1250,4217 9th St NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #8). Confirm DLCP license + email before vetting.
Ronald Taylor II Funeral Home,,,1722 N Capitol St NW,Washington,DC,20002,,,UNVERIFIED web-search lead 2026-09-24 (roster #9). Phone not captured. Confirm DLCP license + email before vetting.
W.H. Bacon Funeral Home Inc.,,(202) 332-3352,3447 14th St NW,Washington,DC,20010,,,UNVERIFIED web-search lead 2026-09-24 (roster #10). Street number 3447 or 3451 — confirm.
R.N. Horton's Funeral Home,,(202) 829-9000,600 Kennedy St NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #11). Confirm DLCP license + email before vetting.
Pinckney-Spangler Funeral Home,,(202) 544-7720,524 8th St NE,Washington,DC,20002,,,UNVERIFIED web-search lead 2026-09-24 (roster #12). Confirm DLCP license + email before vetting.
Pope Funeral Home (Washington Chapel),,(202) 583-5400,2617 Pennsylvania Ave SE,Washington,DC,20020,,,UNVERIFIED web-search lead 2026-09-24 (roster #13). No site found. Confirm DLCP license + email before vetting.
D.L. McLaughlin Funeral Services,,(202) 889-7111,2518 Pennsylvania Ave SE,Washington,DC,20020,,,UNVERIFIED web-search lead 2026-09-24 (roster #14). Confirm DLCP license + email before vetting.
Snead Funeral Home and Cremation Service,,(202) 726-4400,5732 Georgia Ave NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #15). Confirm DLCP license + email before vetting.
Hackett's Funeral Chapel,,(202) 829-0243,814 Upshur St NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #16). Confirm DLCP license + email before vetting.
Hunt Funeral Home (Paradise Mortuary),,(202) 636-3612,908 Kennedy St NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #17). Confirm DLCP license + email before vetting.
Johnson & Jenkins Funeral Home,,(202) 882-8800,716 Kennedy St NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #18). May be the same firm as J.B. Jenkins (now Hyattsville MD) — confirm.
Torchinsky Hebrew Funeral Home,,(202) 541-1001,254 Carroll St NW,Washington,DC,20012,,,UNVERIFIED web-search lead 2026-09-24 (roster #19). Confirm DLCP license + email before vetting.
