name,email,phone,address,city,state,zip,google_rating,google_review_count,notes
B.K. Henry Funeral Chapel Inc.,,,420 H St NE,Washington,DC,20002,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Found only in directory listings; confirm with DLCP that it is a licensed, operating establishment. Earlier search suggested it may have closed."
Blount Funeral Services,,(202) 829-9681,4804 Georgia Ave NW,Washington,DC,20011,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Found only in directory listings; confirm with DLCP that it is a licensed, operating establishment."
Capitol Mortuary Inc.,,(202) 399-6999,1425 Maryland Ave NE,Washington,DC,20002,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: capitolmortuaryinc.com.
Columbia Heights Funeral Home,,(202) 722-7802,3605 14th St NW,Washington,DC,20010,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Found only in directory listings; confirm with DLCP that it is a licensed, operating establishment."
D.L. McLaughlin Funeral Services,,(202) 889-7111,2518 Pennsylvania Ave SE,Washington,DC,20020,,,UNVERIFIED web-search lead 2026-09-24 (roster #14). Confirm DLCP license + email before vetting.
DeVol Funeral Home,,(202) 333-6680,2222 Wisconsin Ave NW,Washington,DC,20007,,,UNVERIFIED web-search lead 2026-09-24 (roster #7). SCI/Dignity Memorial. Confirm DLCP license + email before vetting.
Dunn & Sons Funeral Service,,(202) 399-0535,5635 Eads St NE,Washington,DC,20019,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. A second listing gives 128 Elmira St SW (20032); confirm.
Echelon Avant Garde Funeral Service,,,3457 14th St NW,Washington,DC,20010,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Found only in directory listings; confirm with DLCP that it is a licensed, operating establishment. Same block as W.H. Bacon."
Hackett's Funeral Chapel,,(202) 829-0243,814 Upshur St NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #16). Confirm DLCP license + email before vetting. Kendal Wade Funeral Home lists the same address; confirm which one operates here.
Hall Brothers Funeral Home,,,621 Florida Ave NW,Washington,DC,20001,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Found only in directory listings; confirm with DLCP that it is a licensed, operating establishment."
Harrison & Son Funeral Service,,(202) 855-6974,3449 14th St NW,Washington,DC,20010,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Found only in directory listings; confirm with DLCP that it is a licensed, operating establishment. Same block as W.H. Bacon."
Henry S. Washington & Sons Co. Inc.,,(202) 398-6700,4925 Nannie Helen Burroughs Ave NE,Washington,DC,20019,,,UNVERIFIED web-search lead 2026-09-24 (roster #3). Confirm DLCP license + email before vetting.
Hunt Funeral Home (Paradise Mortuary),,(202) 636-3612,908 Kennedy St NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #17). Confirm DLCP license + email before vetting.
John T. Rhines Funeral Home,,(202) 529-4300,3005 12th St NE,Washington,DC,20017,,,UNVERIFIED web-search lead 2026-09-24 (roster #5). ADDRESS CONFLICTS across sources — confirm. 2026 GPL found.
Johnson & Jenkins Funeral Home,,(202) 882-8800,716 Kennedy St NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #18). May be the same firm as J.B. Jenkins (now Hyattsville MD) — confirm.
Joseph Gawler's Sons LLC,,(202) 966-6400,5130 Wisconsin Ave NW,Washington,DC,20016,,,UNVERIFIED web-search lead 2026-09-24 (roster #6). SCI/Dignity Memorial. Confirm DLCP license + email before vetting.
Kendal Wade Funeral Home and Cremations,,(240) 580-9233,814 Upshur St NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: kwadefunerals.com. Same address as Hackett's Funeral Chapel; confirm whether it succeeded Hackett's.
Marshall-March Funeral Homes,,(202) 723-1250,4217 9th St NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #8). Confirm DLCP license + email before vetting.
McGuire Funeral Service Inc.,,(202) 882-6600,7400 Georgia Ave NW,Washington,DC,20012,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DC_ROSTER_2026-09.md #1). Confirm DLCP license + email before vetting.
Pinckney-Spangler Funeral Home,,(202) 544-7720,524 8th St NE,Washington,DC,20002,,,UNVERIFIED web-search lead 2026-09-24 (roster #12). Confirm DLCP license + email before vetting.
Pope Funeral Home (Washington Chapel),,(202) 583-5400,2617 Pennsylvania Ave SE,Washington,DC,20020,,,UNVERIFIED web-search lead 2026-09-24 (roster #13). No site found. Confirm DLCP license + email before vetting.
R.N. Horton's Funeral Home,,(202) 829-9000,600 Kennedy St NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #11). Confirm DLCP license + email before vetting.
Robinson Funeral Home,,(202) 387-5984,1313 6th St NW,Washington,DC,20001,,,UNVERIFIED web-search lead 2026-09-24 (roster #4). Confirm DLCP license + email before vetting.
Ronald Taylor II Funeral Home,,,1722 N Capitol St NW,Washington,DC,20002,,,UNVERIFIED web-search lead 2026-09-24 (roster #9). Phone not captured. Confirm DLCP license + email before vetting.
Snead Funeral Home and Cremation Service,,(202) 726-4400,5732 Georgia Ave NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (roster #15). Confirm DLCP license + email before vetting. Genesis Cremation & Funeral Services (and one Rollins listing) give the same address; confirm.
Stewart Funeral Home,,(202) 399-3600,4001 Benning Rd NE,Washington,DC,20019,,,UNVERIFIED web-search lead 2026-09-24 (roster #2). Confirm DLCP license + email before vetting.
Torchinsky Hebrew Funeral Home,,(202) 541-1001,254 Carroll St NW,Washington,DC,20012,,,UNVERIFIED web-search lead 2026-09-24 (roster #19). Confirm DLCP license + email before vetting.
Tri-State Funeral Service,,(202) 882-1202,1505 Kenilworth Ave NE,Washington,DC,20019,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: tri-statefuneralservices.com. The home's own (2019) price list gives 1505 Kenilworth Ave NE and this phone; a directory gave 912 3rd St NW. Whitney's Life Centers is next door at 1515. Confirm with DLCP.
Universal Mortuary Service,,(202) 723-1075,411 Kennedy St NW,Washington,DC,20011,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Found only in directory listings; confirm with DLCP that it is a licensed, operating establishment."
W.H. Bacon Funeral Home Inc.,,(202) 332-3352,3447 14th St NW,Washington,DC,20010,,,UNVERIFIED web-search lead 2026-09-24 (roster #10). Street number 3447 or 3451 — confirm.
Watson's Funeral Home,,,3435 14th St NW,Washington,DC,20010,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Found only in directory listings; confirm with DLCP that it is a licensed, operating establishment."
"Whitney's Life Centers Funeral Home, Mortuary and Cremations",,(240) 990-9952,1515 Kenilworth Ave NE,Washington,DC,20019,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: whitneyswlc.com.
Young Funeral Service,,(202) 723-7000,719 Kennedy St NW,Washington,DC,20011,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Found only in directory listings; confirm with DLCP that it is a licensed, operating establishment."
Hilton Funeral Home,,,22111 Beallsville Rd,Barnesville,MD,20838,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: hiltonfh.com. Phone not captured.
Donald V. Borgwardt Funeral Home P.A.,,(301) 937-1707,4400 Powder Mill Rd,Beltsville,MD,20705,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting.
Robert A. Pumphrey Funeral Home (Bethesda-Chevy Chase),,(301) 652-2200,7557 Wisconsin Ave,Bethesda,MD,20814,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: pumphreyfuneralhome.com.
Beall Funeral Home,,(301) 805-5544,6512 Crain Hwy,Bowie,MD,20715,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: beallfuneral.com.
Fort Lincoln Funeral Home & Cemetery,,(301) 864-5090,3401 Bladensburg Rd,Brentwood,MD,20722,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. SCI / Dignity Memorial. Prince George's County.
Buchanan Funeral Services P.A.,,,,Clinton,MD,20735,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: buchananfunerals.com. Address and phone not captured; also serves Upper Marlboro.
Joseph Gawler's Sons (Clinton),,,7508 Old Alexandria Ferry Rd,Clinton,MD,20735,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Search result only; confirm it operates (Gawler's main home is in DC). SCI.
Lee Funeral Home Inc.,,(301) 868-0900,6633 Old Alexandria Ferry Rd,Clinton,MD,20735,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: leefuneralhomes.com.
Wiseman Funeral Home & Chapel P.A.,,(301) 899-2005,4591 Allentown Rd,Camp Springs,MD,20746,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: wisemanfuneralhome.net. Earlier listings give 7531 Old Alexandria Ferry Rd, Clinton, which the home's own site now labels ""Old""; confirm. Price list posted at wisemanfuneralhome.net/gpl."
Molesworth-Williams P.A. Funeral Home,,(301) 253-2138,26401 Ridge Rd,Damascus,MD,20872,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: molesworthwilliams.com.
Pope Funeral Home (Forestville Chapel),,(301) 568-4100,5538 Marlboro Pike,Forestville,MD,20747,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: popefh.com. Posts price lists; also has the DC chapel.
McPherson Funeral Services P.A.,,(301) 292-4603,12827 Old Fort Rd,Fort Washington,MD,20744,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: mcphersonfuneralservicesandcremations.com.
DeVol Funeral Home (Gaithersburg),,(301) 948-6800,10 E Deer Park Dr,Gaithersburg,MD,20877,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. SCI / Dignity Memorial.
Thibadeau Mortuary Service P.A.,,(301) 495-4950,124 E Diamond Ave,Gaithersburg,MD,20877,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: interfaithfunerals.com.
Gasch's Funeral Home P.A.,,(301) 927-6100,4739 Baltimore Ave,Hyattsville,MD,20781,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: gaschs.com. Posts a general-prices page.
J.B. Jenkins Funeral Home Inc.,,(301) 322-2300,7474 Landover Rd,Landover,MD,20785,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: jbjenkinsfuneralhome.com. Moved from 716 Kennedy St NW, DC; posts a pricing-and-policies page. Its August 2024 price list gives Landover and names a second site, the J.B. Jenkins Worship Center at Kettering (1 Kettering Dr, Upper Marlboro 20774); confirm whether that is a separately licensed establishment."
Arehart-Echols Funeral Home P.A.,,(301) 934-8342,211 St. Mary's Ave,La Plata,MD,20646,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: arehartechols.com.
Raymond Funeral Service P.A.,,(301) 934-2920,5635 Washington Ave,La Plata,MD,20646,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: raymondfuneralservice.com.
